key,fr_value,en_value
validation.required,The :attribute field is required.,The :attribute field is required.
validation.required_array_keys,The :attribute field must contain entries for: :values.,The :attribute field must contain entries for: :values.
validation.required_if,The :attribute field is required when :other is :value.,The :attribute field is required when :other is :value.
validation.required_if_accepted,The :attribute field is required when :other is accepted.,The :attribute field is required when :other is accepted.
validation.required_unless,The :attribute field is required unless :other is in :values.,The :attribute field is required unless :other is in :values.
validation.required_with,The :attribute field is required when :values is present.,The :attribute field is required when :values is present.
validation.required_with_all,The :attribute field is required when :values are present.,The :attribute field is required when :values are present.
validation.required_without,The :attribute field is required when :values is not present.,The :attribute field is required when :values is not present.
validation.required_without_all,The :attribute field is required when none of :values are present.,The :attribute field is required when none of :values are present.
validation.same,The :attribute and :other must match.,The :attribute and :other must match.
validation.size.array,The :attribute must contain :size items.,The :attribute must contain :size items.
validation.size.file,The :attribute must be :size kilobytes.,The :attribute must be :size kilobytes.
validation.size.numeric,The :attribute must be :size.,The :attribute must be :size.
validation.size.string,The :attribute must be :size characters.,The :attribute must be :size characters.
validation.starts_with,The :attribute must start with one of the following: :values.,The :attribute must start with one of the following: :values.
validation.string,The :attribute must be a string.,The :attribute must be a string.
validation.timezone,The :attribute must be a valid timezone.,The :attribute must be a valid timezone.
validation.unique,The :attribute has already been taken.,The :attribute has already been taken.
validation.uploaded,The :attribute failed to upload.,The :attribute failed to upload.
validation.uppercase,The :attribute must be uppercase.,The :attribute must be uppercase.
validation.url,The :attribute must be a valid URL.,The :attribute must be a valid URL.
validation.uuid,The :attribute must be a valid UUID.,The :attribute must be a valid UUID.
