locale,key,first_seen_in_file
de,installer.license.step_1,resources/views/installer/license.blade.php
de,installer.license.step_2,resources/views/installer/license.blade.php
de,installer.license.step_3,resources/views/installer/license.blade.php
de,installer.license.templateTitle,resources/views/installer/license.blade.php
de,installer.license.title,resources/views/installer/license.blade.php
de,itemType.,resources/views/pdf/items_report.blade.php
de,label.…,app/Http/Resources/SimpleOrderResource.php
de,orderStatus.,resources/views/pdf/online_orders.blade.php
de,orderType.,resources/views/pdf/online_orders.blade.php
de,payment_gateway.,resources/views/pdf/sales_report.blade.php
de,payment_status.,resources/views/pdf/sales_report.blade.php
de,pos_payment_method.,resources/views/pdf/sales_report.blade.php
de,statuse.,app/Exports/AdministratorExport.php
de,validation.items_cap_exceeded,app/Rules/ValidJsonOrder.php
de,validation.multi_variation.max,app/Rules/MultiVariationConstraint.php
de,validation.multi_variation.min,app/Rules/MultiVariationConstraint.php
de,validation.multi_variation.no_repeat,app/Rules/MultiVariationConstraint.php
bn,all.item_match,app/Services/ItemAddonService.php
bn,all.label.cash_no_open_session_blocks_sale,app/Http/Controllers/Admin/PosController.php
bn,all.message.coupon_not_applicable_now,app/Services/CouponService.php
bn,all.message.coupon_not_yet_active,app/Services/CouponService.php
bn,all.message.device_not_found,app/Http/Controllers/Admin/PromoFlyerController.php
bn,all.message.device_renamed,app/Http/Controllers/Auth/DeviceSessionController.php
bn,all.message.device_revoked,app/Http/Controllers/Auth/DeviceSessionController.php
bn,all.message.email_send,app/Http/Controllers/Admin/SubscriberController.php
bn,all.message.flyer_settings_saved,app/Http/Controllers/Admin/PromoFlyerController.php
bn,all.message.invalid_status_transition,app/Rules/ValidStatusTransition.php
bn,all.message.kds_recall_already_recalled,app/Services/KitchenDisplaySystemOrderService.php
bn,all.message.kds_recall_invalid_state,app/Services/KitchenDisplaySystemOrderService.php
bn,all.message.kds_recall_success,app/Http/Controllers/Admin/KitchenDisplaySystemController.php
bn,all.message.kds_recall_window_expired,app/Services/KitchenDisplaySystemOrderService.php
bn,all.message.kds_reopen_invalid_state,app/Http/Controllers/Admin/KitchenDisplaySystemController.php
bn,all.message.kds_reopen_success,app/Http/Controllers/Admin/KitchenDisplaySystemController.php
bn,all.message.kiosk_machine_inactive,app/Http/Controllers/Auth/KioskMachineLoginController.php
bn,all.message.kiosk_user_inactive,app/Http/Controllers/Auth/KioskMachineLoginController.php
bn,all.message.kiosk_username_not_email,app/Http/Controllers/Auth/KioskMachineLoginController.php
bn,all.message.method_not_supported,app/Exceptions/Handler.php
bn,all.message.order_not_found,app/Exceptions/Handler.php
